obs,action_human,action_ai,new_obs,reward_human,reward_ai,done
"[0.2 0.6 0.  0.6 0.6 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",2,2,"[0.2 0.4 0.  0.6 0.4 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.2 0.4 0.  0.6 0.4 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",2,2,"[0.2 0.2 0.  0.6 0.2 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.2 0.2 0.  0.6 0.2 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,3,"[0.4 0.2 0.  0.6 0.2 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.4 0.2 0.  0.6 0.2 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",2,0,"[0.4 0.2 1.  0.6 0.4 0.  0.4 0.2 0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.4 0.2 1.  0.6 0.4 0.  0.4 0.2 0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",3,1,"[0.2 0.2 1.  0.6 0.4 0.  0.2 0.2 0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.2 0.2 1.  0.6 0.4 0.  0.2 0.2 0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",2,1,"[0.2 0.2 0.  0.6 0.4 0.  0.2 0.  0.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",9.9,9.9,False
"[0.2 0.2 0.  0.6 0.4 0.  0.2 0.  0.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",2,1,"[0.2 0.2 0.  0.6 0.4 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",9.9,9.9,False
"[0.2 0.2 0.  0.6 0.4 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,2,"[0.4 0.2 0.  0.6 0.2 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.4 0.2 0.  0.6 0.2 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,0,"[0.6 0.2 0.  0.6 0.4 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.6 0.2 0.  0.6 0.4 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,3,"[0.6 0.2 1.  0.4 0.4 0.  0.2 0.  1.  0.6 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.6 0.2 1.  0.4 0.4 0.  0.2 0.  1.  0.6 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,2,"[0.6 0.2 0.  0.4 0.2 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-5.1,-5.1,False
"[0.6 0.2 0.  0.4 0.2 0.  0.2 0.  1.  0.8 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,3,"[0.6 0.2 1.  0.2 0.2 0.  0.2 0.  1.  0.6 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.6 0.2 1.  0.2 0.2 0.  0.2 0.  1.  0.6 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",3,1,"[0.4 0.2 1.  0.2 0.2 0.  0.2 0.  1.  0.4 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.4 0.2 1.  0.2 0.2 0.  0.2 0.  1.  0.4 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",3,0,"[0.2 0.2 1.  0.2 0.4 0.  0.2 0.  1.  0.2 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.2 0.2 1.  0.2 0.4 0.  0.2 0.  1.  0.2 0.2 0.  0.2 0.  1.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",2,0,"[0.2 0.2 1.  0.2 0.6 0.  0.2 0.2 1.  0.2 0.2 1.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",9.9,9.9,False
"[0.2 0.2 1.  0.2 0.6 0.  0.2 0.2 1.  0.2 0.2 1.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,1,"[0.4 0.2 1.  0.4 0.6 0.  0.4 0.2 1.  0.4 0.2 1.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.4 0.2 1.  0.4 0.6 0.  0.4 0.2 1.  0.4 0.2 1.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",1,0,"[0.6 0.2 1.  0.4 0.6 0.  0.6 0.2 1.  0.6 0.2 1.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",-0.1,-0.1,False
"[0.6 0.2 1.  0.4 0.6 0.  0.6 0.2 1.  0.6 0.2 1.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",2,0,"[0.6 0.2 0.  0.4 0.6 0.  0.4 0.  0.  0.8 0.2 0.  0.2 0.  0.  0.6 0.  1.
 0.  0.  0.  0.  0.  0. ]",194.9,194.9,True
